PUESTO_TRABAJO,AREA,FECHA_INGRESO_PLANILLA,MOTIVO_SEPARACION,FECHA_CESE,SITUACION,COD_SEXO,ESTADO_CIVIL,FECHA_NACIMIENTO,SEGMENTO SIMPLE,TIPO_CASA,TIPO_INSTRUCCION,DISTRITO,PROVINCIA,DEPARTAMENTO,NÚMERO DE HIJOS
AYUDANTE DE COCINA,HUDBAY - ALIMENTACION,45527,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),29835,E&R,ALQUILADA,SECUNDARIA COMPLETA,ANDAHUAYLILLAS,QUISPICANCHIS,DPTO CUSCO,2
AUXILIAR DE HOTELERIA,MARSA - HOTELERIA,45533,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,30247,E&R,FAMILIAR,SECUNDARIA COMPLETA,CHICLAYO,CHICLAYO,DPTO LAMBAYEQUE,1
TECNICO DE MANTENIMIENTO ELECTROMECANICO - CONDUCT,PAMPA MELCHORITA - MANTENIMIENTO,45527,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,30197,E&R,ALQUILADA,SECUNDARIA COMPLETA,CHACLACAYO,LIMA,DPTO LIMA,1
TECNICO DE MANTENIMIENTO - SERVICIOS GENERALES,PLUSPETROL L 56 - MANTENIMIENTO,45530,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,29770,E&R,ALQUILADA,SECUNDARIA COMPLETA,CALLAO,CALLAO,PROV. CONST. DEL CALLAO,0
VAJILLERO,PAMPA MELCHORITA - ALIMENTACION,45525,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,31467,E&R,PROPIA,SECUNDARIA COMPLETA,SAN VICENTE DE CANETE,CANETE,DPTO LIMA,1
AUXILIAR GENERAL,MARSA - ALIMENTACION,45524,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),31604,E&R,ALQUILADA,SECUNDARIA COMPLETA,CAJAMARCA,CAJAMARCA,DPTO CAJAMARCA,1
VAJILLERO,VALE MISKI MAYO - ALIMENTACION,45527,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,30629,E&R,FAMILIAR,SECUNDARIA COMPLETA,PIURA,PIURA,DPTO PIURA,1
SUPERVISOR DE PLANTAS DE AGUA,HUDBAY - MANTENIMIENTO,45520,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),31987,E&R,PROPIA,SECUNDARIA COMPLETA,CHORRILLOS,LIMA,DPTO LIMA,2
TECNICO DE MANTENIMIENTO - MULTIUSOS,VALE MISKI MAYO - MANTENIMIENTO,45534,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,32050,E&R,FAMILIAR,SECUNDARIA COMPLETA,LA BREA,TALARA,DPTO PIURA,2
SUPERVISOR DE MANTENIMIENTO,TUNSHURUCO - MANTENIMIENTO,45534,NO APLICABLE,0,ACTIVO,M,CASADO(A),32333,E&R,FAMILIAR,PRIMARIA INCOMPLETA,AREQUIPA,AREQUIPA,DPTO AREQUIPA,1
AUXILIAR DE HOTELERIA,MINSUR SAN RAFAEL NUEVO - HOTELERIA,45520,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),30084,E&R,FAMILIAR,SECUNDARIA COMPLETA,AZANGARO,AZANGARO,DPTO PUNO,1
SUPERVISOR DE CALIDAD SENIOR,TUNSHURUCO - ALIMENTACION,45534,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,32839,E&R,FAMILIAR,GRADO DE BACHILLER,CAJAMARCA,CAJAMARCA,DPTO CAJAMARCA,0
AUXILIAR GENERAL,MARSA - ALIMENTACION,45524,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,32979,E&R,FAMILIAR,SECUNDARIA COMPLETA,PIURA,PIURA,DPTO PIURA,2
CHOFER,MINSUR PUCAMARCA NUEVO - ALIMENTACION,45526,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,32702,E&R,FAMILIAR,SECUNDARIA COMPLETA,CIUDAD NUEVA,TACNA,DPTO TACNA,1
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,45530,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),32911,E&R,PROPIA,SECUNDARIA COMPLETA,LURIN,LIMA,DPTO LIMA,0
AUXILIAR DE MANTENIMIENTO,HUDBAY - MANTENIMIENTO,45527,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),33937,E&R,PROPIA,SECUNDARIA COMPLETA,VELILLE,CHUMBIVILCAS,DPTO CUSCO,1
AUXILIAR DE HOTELERIA,REPSOL NUEVO LOTE 57 - HOTELERIA,45526,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,33284,E&R,ALQUILADA,SECUNDARIA COMPLETA,PUENTE PIEDRA,LIMA,DPTO LIMA,4
AUXILIAR GENERAL,VOTORANTIM METAIS - ALIMENTACION,45530,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34066,E&R,ALQUILADA,SECUNDARIA COMPLETA,LURIGANCHO,LIMA,DPTO LIMA,1
AUXILIAR DE MANTENIMIENTO,TUNSHURUCO - MANTENIMIENTO,45520,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),33633,E&R,PROPIA,SECUNDARIA COMPLETA,EL AGUSTINO,LIMA,DPTO LIMA,1
MOZO,PAMPA MELCHORITA - ALIMENTACION,45525,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35425,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN VICENTE DE CANETE,CANETE,DPTO LIMA,1
AUXILIAR GENERAL,EL BROCAL,45533,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),36909,E&R,ALQUILADA,SECUNDARIA COMPLETA,PUEBLO NUEVO,CHINCHA,DPTO ICA,0
ASISTENTE DE COMEDOR,TUNSHURUCO - ALIMENTACION,45534,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),36224,E&R,FAMILIAR,SECUNDARIA COMPLETA,SAN JUAN DE MIRAFLORES,LIMA,DPTO LIMA,0
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,45526,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35563,E&R,FAMILIAR,SECUNDARIA COMPLETA,RIMAC,LIMA,DPTO LIMA,0
ASISTENTE DE RECURSOS HUMANOS,HOCHSCHILD - INMACULADA,45526,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),36015,E&R,PROPIA,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,0
AUXILIAR DE LIMPIEZA,VALE MISKI MAYO - HOTELERIA,45534,NO APLICABLE,0,ACTIVO,F,CONVIVIENTE,36331,E&R,PROPIA,TÉCNICA COMPLETA,CRISTO NOS VALGA,SECHURA,DPTO PIURA,1
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,45530,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),34440,E&R,PROPIA,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
TECNICO DE MANTENIMIENTO - OPERADOR DE PLANTA,PLUSPETROL L 56 - PLANTAS DE AGUA,45533,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,34384,E&R,ALQUILADA,SECUNDARIA COMPLETA,LLACANORA,CAJAMARCA,DPTO CAJAMARCA,2
