PUESTO_TRABAJO,AREA,FECHA_INGRESO_PLANILLA,MOTIVO_SEPARACION,FECHA_CESE,SITUACION,COD_SEXO,ESTADO_CIVIL,FECHA_NACIMIENTO,SEGMENTO SIMPLE,TIPO_CASA,TIPO_INSTRUCCION,DISTRITO,PROVINCIA,DEPARTAMENTO,NÚMERO DE HIJOS
ASISTENTE DE RECREACION,QUELLAVECO - ALIMENTACION,44459,RENUNCIA VOLUNTARIA,45383,CESADO,F,SOLTERO(A),35355,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
TECNICO MULTIUSO - PINTOR,PAMPA MELCHORITA - MANTENIMIENTO,43865,PERIODO PRUEBA,43903,CESADO,M,SOLTERO(A),30990,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR GENERAL,MARSA - ALIMENTACION,44750,PERIODO PRUEBA,44774,CESADO,M,SOLTERO(A),31248,E&R,PROPIA,SECUNDARIA COMPLETA,PIURA,PIURA,DPTO PIURA,SIN INFORMACION
TECNICO DE MEDIO AMBIENTE 3,MARSA - MEDIO AMBIENTE,45470,PERIODO PRUEBA,45512,CESADO,M,SOLTERO(A),36461,E&R,FAMILIAR,UNIVERS. COMPLETA,TRUJILLO,TRUJILLO,DPTO LA LIBERTAD,0
SUPERVISOR DE HS&E,MINSUR SAN RAFAEL NUEVO - ALIMENTACION,44725,PERIODO PRUEBA,44808,CESADO,M,SOLTERO(A),30485,E&R,PROPIA,TITULADO,CARABAYLLO,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE LAVANDERIA,QUELLAVECO - HOTELERIA,44025,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),26794,E&R,NO APLICABLE,TÉCNICA COMPLETA,MOQUEGUA,MARISCAL NIETO,DPTO MOQUEGUA,SIN INFORMACION
AUXILIAR DE ALMACEN,HUDBAY - ALIMENTACION,45042,RENUNCIA VOLUNTARIA,45057,CESADO,M,SOLTERO(A),33519,E&R,PROPIA,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,2
SUPERVISOR DE HOTELERIA,QUELLAVECO - HOTELERIA,44354,RENUNCIA VOLUNTARIA,44563,CESADO,F,SOLTERO(A),32569,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,HOCHSCHILD - INMACULADA,44342,RENUNCIA VOLUNTARIA,44409,CESADO,F,SOLTERO(A),33611,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
LIDER DE GRUPO,QUELLAVECO - ALIMENTACION,43983,TERMINO DE CONTRATO,44896,CESADO,M,SOLTERO(A),29984,E&R,NO APLICABLE,SECUNDARIA COMPLETA,SAN VICENTE DE CANETE,CANETE,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,UCHUCCHACUA - HOTELERIA,43635,TERMINO DE CONTRATO,44166,CESADO,M,SOLTERO(A),30761,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,HOCHSCHILD - INMACULADA,45197,RENUNCIA VOLUNTARIA,45292,CESADO,F,SOLTERO(A),34045,E&R,ALQUILADA,SECUNDARIA COMPLETA,CARABAYLLO,LIMA,DPTO LIMA,1
AUXILIAR DE HOTELERIA,HUDBAY - HOTELERIA,45341,TERMINO DE CONTRATO,45444,CESADO,F,CASADO(A),29982,E&R,FAMILIAR,SECUNDARIA COMPLETA,BELLAVISTA,SULLANA,DPTO PIURA,2
SUPERVISOR DE LIMPIEZA,EDELNOR - LIMPIEZA,43521,RENUNCIA VOLUNTARIA,44089,CESADO,F,SOLTERO(A),24184,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,HOCHSCHILD - PALLANCATA,43077,TERMINO DE CONTRATO,44075,CESADO,M,SOLTERO(A),35519,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,1
AUXILIAR DE LIMPIEZA,CNPC PERU - LIMA,39814,RENUNCIA VOLUNTARIA,44824,CESADO,F,CONVIVIENTE,25153,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,RIMAC,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,QUELLAVECO - ALIMENTACION,44151,TERMINO DE CONTRATO,44531,CESADO,F,SOLTERO(A),28499,E&R,NO APLICABLE,SECUNDARIA COMPLETA,HUACHOCOLPA,HUANCAVELICA,DPTO HUANCAVELICA,SIN INFORMACION
SUPERVISOR DE LAVANDERIA,QUELLAVECO - HOTELERIA,44585,TERMINO DE CONTRATO,45474,CESADO,M,CASADO(A),32633,E&R,ALQUILADA,TÉCNICA COMPLETA,CURAHUASI,ABANCAY,DPTO APURIMAC,SIN INFORMACION
AUXILIAR DE HOTELERIA,HUDBAY - HOTELERIA,45188,TERMINO DE CONTRATO,45444,CESADO,M,CONVIVIENTE,36261,E&R,ALQUILADA,SECUNDARIA COMPLETA,CALCA,CALCA,DPTO CUSCO,1
AUXILIAR GENERAL,QUELLAVECO - ALIMENTACION,43976,RENUNCIA VOLUNTARIA,44663,CESADO,M,SOLTERO(A),32069,E&R,NO APLICABLE,SECUNDARIA COMPLETA,CAYMA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
TECNICO DE MANTENIMIENTO - OPERADOR DE PLANTA,PPN LOTE 8 - MANTENIMIENTO,43682,TERMINO DE CONTRATO,44470,CESADO,M,SOLTERO(A),26337,E&R,NO APLICABLE,SECUNDARIA COMPLETA,SAN JUAN BAUTISTA,MAYNAS,DPTO LORETO,SIN INFORMACION
MOZO,PAN AMERICAN SILVER HUARON - ALIMENTACION,44454,PERIODO PRUEBA,44470,CESADO,F,SOLTERO(A),35118,E&R,NO APLICABLE,NO APLICABLE,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,QUELLAVECO - ALIMENTACION,44347,RENUNCIA VOLUNTARIA,44384,CESADO,F,SOLTERO(A),31595,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,TAMBOMAYO - HOTELERIA,44477,RENUNCIA VOLUNTARIA,44568,CESADO,M,SOLTERO(A),34023,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
AYUDANTE DE COCINA,TUNSHURUCO - ALIMENTACION,44995,RENUNCIA VOLUNTARIA,45474,CESADO,M,CONVIVIENTE,33538,E&R,ALQUILADA,SUPERIOR COMPLETA,HUANCAYO,HUANCAYO,DPTO JUNIN,SIN INFORMACION
ASISTENTE DE RECURSOS HUMANOS,TUNSHURUCO - ALIMENTACION,44663,RENUNCIA VOLUNTARIA,44824,CESADO,M,CASADO(A),33293,E&R,PROPIA,GRADO DE BACHILLER,HUANCAYO,HUANCAYO,DPTO JUNIN,SIN INFORMACION
AUXILIAR DE HOTELERIA,MINSUR SAN RAFAEL NUEVO - HOTELERIA,45268,TERMINO DE CONTRATO,45444,CESADO,F,SOLTERO(A),31003,E&R,ALQUILADA,SECUNDARIA COMPLETA,AZANGARO,AZANGARO,DPTO PUNO,2
PRACTICANTE,TUNSHURUCO - ALIMENTACION,44627,TERMINO DE CONTRATO,44718,CESADO,F,SOLTERO(A),34665,E&R,ALQUILADA,GRADO DE BACHILLER,NAPO,MAYNAS,DPTO LORETO,SIN INFORMACION
AUXILIAR DE HOTELERIA,HUDBAY - HOTELERIA,45236,PERIODO PRUEBA,45275,CESADO,F,SOLTERO(A),34103,E&R,PROPIA,SECUNDARIA COMPLETA,CAYMA,AREQUIPA,DPTO AREQUIPA,0
MOZO,QUELLAVECO - ALIMENTACION,44534,RENUNCIA VOLUNTARIA,44868,CESADO,M,SOLTERO(A),32370,E&R,NO APLICABLE,TÉCNICA COMPLETA,SACHACA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
